ID,CONFIDENCE,NUMBER,VOTE
1,1.0,yes (1 - 0),yes (5 - 0)
2,-0.5409836065573771,yes (5 - 2),no (14 - 47)
3,1.0,yes (1 - 0),yes (3 - 0)
4,1.0,yes (1 - 0),yes (7 - 0)
5,1.0,yes (1 - 0),yes (1 - 0)
6,1.0,yes (1 - 0),yes (1 - 0)
7,1.0,yes (1 - 0),yes (1 - 0)
8,1.0,yes (1 - 0),yes (1 - 0)
9,1.0,yes (1 - 0),yes (1 - 0)
10,1.0,yes (1 - 0),yes (1 - 0)
11,1.0,yes (1 - 0),yes (4 - 0)
12,1.0,yes (1 - 0),yes (4 - 0)
13,1.0,yes (1 - 0),yes (1 - 0)
14,1.0,yes (4 - 0),yes (151 - 0)
15,1.0,yes (1 - 0),yes (3 - 0)
16,1.0,yes (1 - 0),yes (3 - 0)
17,1.0,yes (1 - 0),yes (1 - 0)
18,1.0,yes (1 - 0),yes (1 - 0)
19,1.0,yes (1 - 0),yes (90 - 0)
